"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","dB(DirTotal) []"
10,5,90,0.6,0,-4.09401673300265
10,5,90,0.6,0.1,-3.98546003809577
10,5,90,0.6,0.2,-3.87475126504577
10,5,90,0.6,0.3,-3.7622995921687
10,5,90,0.6,0.4,-3.64849655031996
10,5,90,0.6,0.5,-3.53371453133178
10,5,90,0.6,0.6,-3.41830578176486
10,5,90,0.6,0.7,-3.30260182389333
10,5,90,0.6,0.8,-3.18691324465834
10,5,90,0.6,0.9,-3.07152979458279
10,5,90,0.6,1,-2.95672074169089
10,5,90,0.6,1.1,-2.84273542975184
10,5,90,0.6,1.2,-2.72980399518026
10,5,90,0.6,1.3,-2.61813820228453
10,5,90,0.6,1.4,-2.50793236195733
10,5,90,0.6,1.5,-2.39936430412692
10,5,90,0.6,1.6,-2.29259637918203
10,5,90,0.6,1.7,-2.18777646805395
10,5,90,0.6,1.8,-2.08503898463516
10,5,90,0.6,1.9,-1.98450585772017
10,5,90,0.6,2,-1.88628748268217
10,5,90,0.6,2.1,-1.790483635669
10,5,90,0.6,2.2,-1.69718434525668
10,5,90,0.6,2.3,-1.60647071827537
10,5,90,0.6,2.4,-1.51841571796637
10,5,90,0.6,2.5,-1.4330848937839
10,5,90,0.6,2.6,-1.35053706306193
10,5,90,0.6,2.7,-1.27082494546317
10,5,90,0.6,2.8,-1.1939957516486
10,5,90,0.6,2.9,-1.12009172798209
10,5,90,0.6,3,-1.04915065934258
10,5,90,0.6,3.1,-0.981206332278544
10,5,90,0.6,3.2,-0.916288960825128
10,5,90,0.6,3.3,-0.854425577331319
10,5,90,0.6,3.4,-0.795640390624528
10,5,90,0.6,3.5,-0.739955113784856
10,5,90,0.6,3.6,-0.687389263721511
10,5,90,0.6,3.7,-0.637960434644642
10,5,90,0.6,3.8,-0.591684547414314
10,5,90,0.6,3.9,-0.548576076630122
10,5,90,0.6,4,-0.508648257200537
10,5,90,0.6,4.1,-0.471913272007107
10,5,90,0.6,4.2,-0.438382422154255
10,5,90,0.6,4.3,-0.408066281173298
10,5,90,0.6,4.4,-0.380974834430445
10,5,90,0.6,4.5,-0.357117604873493
10,5,90,0.6,4.6,-0.33650376614055
10,5,90,0.6,4.7,-0.319142243947599
10,5,90,0.6,4.8,-0.305041806568623
10,5,90,0.6,4.9,-0.294211145123481
10,5,90,0.6,5,-0.28665894429296
10,5,90,0.6,5.1,-0.282393943988334
10,5,90,0.6,5.2,-0.281424992413081
10,5,90,0.6,5.3,-0.28376109086595
10,5,90,0.6,5.4,-0.289411430548628
10,5,90,0.6,5.5,-0.298385421554259
10,5,90,0.6,5.6,-0.310692714127204
10,5,90,0.6,5.7,-0.326343212196468
10,5,90,0.6,5.8,-0.345347079095604
10,5,90,0.6,5.9,-0.367714735289661
10,5,90,0.6,6,-0.393456847832739
10,5,90,0.6,6.1,-0.422584311178675
10,5,90,0.6,6.2,-0.455108218858943
10,5,90,0.6,6.3,-0.491039825427801
10,5,90,0.6,6.4,-0.530390497949575
10,5,90,0.6,6.5,-0.573171656169809
10,5,90,0.6,6.6,-0.619394700366185
10,5,90,0.6,6.7,-0.669070925715984
10,5,90,0.6,6.8,-0.722211421843151
10,5,90,0.6,6.9,-0.778826956017599
10,5,90,0.6,7,-0.838927838269873
10,5,90,0.6,7.1,-0.902523766455068
10,5,90,0.6,7.2,-0.969623649047554
10,5,90,0.6,7.3,-1.040235403172
10,5,90,0.6,7.4,-1.11436572507365
10,5,90,0.6,7.5,-1.19201982990137
10,5,90,0.6,7.6,-1.27320115731823
10,5,90,0.6,7.7,-1.35791103906694
10,5,90,0.6,7.8,-1.4461483242009
10,5,90,0.6,7.9,-1.53790895724748
10,5,90,0.6,8,-1.63318550410156
10,5,90,0.6,8.1,-1.73196661995942
10,5,90,0.6,8.2,-1.83423645310382
10,5,90,0.6,8.3,-1.93997397785141
10,5,90,0.6,8.4,-2.04915224949176
10,5,90,0.6,8.5,-2.16173757360302
10,5,90,0.6,8.6,-2.27768858175532
